id;name;email;phone_number;comments
1;magenta;Juliana_S91@portugalmail.pt;rich SCSI models;SSL Lead
2;Administrator;Brbara_Barbosa@mail.pt;Configuration Austrália synthesizing;mobile Village Teclado
3;enterprise;Lorena_Paiva@mail.pt;preto reintermediate Functionality;feed Ar Facilitator
4;administration Phased;Pilar_Campos36@outlook.com;innovative Metrics;programming Villages
5;optimizing Indiana Account;Matilde.Carvalho50@yahoo.com;platforms Brinquedos;Mercearia navigate azul
6;Key;Eva77@outlook.com;scalable B2C bandwidth;withdrawal Borders
7;generating orchestration;Afonso_Machado3@outlook.com;Aço;Account
8;Prático Exclusive;Mariana59@aeiou.pt;magenta;optical Beleza defect
9;Convertible Uruguai Director;Luena.Barbosa53@aeiou.pt;challenge Fritas real-time;mobile interfaces Franc
10;Jardim Home;Gaspar_Melo@aeiou.pt;metrics Michigan;Atum group
